Element,Atomic Number,Symbol,Atomic Weight,Group,Phase,Type,"Ionic Radius","Atomic Radius",Electronegativity,First Ionization Potential,"Density","Melting point","Boiling point",# Isotopes,Discoverer,Year,Specific Heat Capacity,Electron Configuration
Xenon,54,Xe,131.2936,18,gas,Noble Gas,,1.2,,12.1298,0.005887,161.45,165.03,31,Ramsay and Travers,1898,0.158,[Kr] 4d10 5s2 5p6
Cesium,55,Cs,132.90545192,1,bcc,Alkali Metal,1.7,3.3,0.79,3.8939,1.873,301.7,944,22,  Bunsen and Kirchoff,1860,0.242,[Xe] 6s1
Barium,56,Ba,137.3277,2,bcc,Alkaline Earth Metal,1.4,2.8,0.89,5.2117,3.594,1002.15,2170,25,Davy,1808,0.204,[Xe] 6s2
Lanthanum,57,La,138.905477,3,hex,Lanthanide,1.1,2.7,1.1,5.5769,6.145,1193.15,3737,19,Mosander,1839,0.195,[Xe] 5d1 6s2
Cerium,58,Ce,140.1161,19,fcc,Lanthanide,1,2.7,1.12,5.5387,6.77,1071.15,3716,19,Berzelius,1803,0.192,[Xe] 4f1 5d1 6s2
Praseodymium,59,Pr,140.907652,20,hex,Lanthanide,1,2.7,1.13,5.473,6.773,1204.15,3793,15,von Welsbach,1885,0.193,[Xe] 4f3 6s2
Neodymium,60,Nd,144.2423,21,hex,Lanthanide,1,2.6,1.14,5.525,7.007,1289.15,3347,16,von Welsbach,1885,0.19,[Xe] 4f4 6s2
Promethium,61,Pm,145,22,hex,Lanthanide,0.98,2.6,1.13,5.582,7.26,1204.15,3273,14,   Marinsky et al.,1945,,[Xe] 4f5 6s2
Samarium,62,Sm,150.362,23,hex,Lanthanide,0.96,2.6,1.17,5.6437,7.52,1345.15,2067,17,Boisbaudran,1879,0.197,[Xe] 4f6 6s2
Europium,63,Eu,151.9641,24,bcc,Lanthanide,0.95,2.6,1.2,5.6704,5.243,1095.15,1802,21,Demarcay,1901,0.182,[Xe] 4f7 6s2
Gadolinium,64,Gd,157.253,25,hex,Lanthanide,0.94,2.5,1.2,6.1501,7.895,1585.15,3546,17,de Marignac,1880,0.236,[Xe] 4f7 5d1 6s2
Terbium,65,Tb,158.925352,26,hex,Lanthanide,0.92,2.5,1.2,5.8638,8.229,1630.15,3503,24,Mosander,1843,0.182,[Xe] 4f9 6s2
Dysprosium,66,Dy,162.5001,27,hex,Lanthanide,0.91,2.5,1.22,5.9389,8.55,1680.15,2840,21,de Boisbaudran,1886,0.17,[Xe] 4f10 6s2
Holmium,67,Ho,164.930322,28,hex,Lanthanide,0.9,2.5,1.23,6.0215,8.795,1743.15,2993,29,Delafontaine and Soret,1878,0.165,[Xe] 4f11 6s2
Erbium,68,Er,167.2593,29,hex,Lanthanide,0.88,2.5,1.24,6.1077,9.066,1795.15,3503,16,Mosander,1843,0.168,[Xe] 4f12 6s2
Thulium,69,Tm,168.934212,30,hex,Lanthanide,0.87,2.4,1.25,6.1843,9.321,1818.15,2223,18,Cleve,1879,0.16,[Xe] 4f13 6s2
Ytterbium,70,Yb,173.0545,31,fcc,Lanthanide,0.86,2.4,1.1,6.2542,6.965,1097.15,1469,16,Marignac,1878,0.155,[Xe] 4f14 6s2
Lutetium,71,Lu,174.96681,32,hex,Lanthanide,0.85,2.3,1.27,5.4259,9.84,1936.15,3675,22,   Urbain/ von Welsbach,1907,0.154,[Xe] 4f14 5d1 6s2
Hafnium,72,Hf,178.492,4,hex,Transition Metal,0.71,2.2,1.3,6.8251,13.31,2500.15,4876,17,Coster and von Hevesy,1923,0.144,[Xe] 4f14 5d2 6s2
Tantalum,73,Ta,180.947882,5,bcc,Transition Metal,0.64,2.1,1.5,7.5496,16.654,3269.15,5731,19,Ekeberg,1801,0.14,[Xe] 4f14 5d3 6s2
Wolfram,74,W,183.841,6,bcc,Transition Metal,0.62,2,2.36,7.864,19.25,3680.15,5828,22,J. and F. d'Elhuyar,1783,0.132,[Xe] 4f14 5d4 6s2
Rhenium,75,Re,186.2071,7,hex,Transition Metal,0.56,2,1.9,7.8335,21.02,3453.15,5869,21,"Noddack, Berg, and Tacke",1925,0.137,[Xe] 4f14 5d5 6s2
Osmium,76,Os,190.233,8,hex,Transition Metal,0.63,1.9,2.2,8.4382,22.61,3300.15,5285,19,Tennant,1803,0.13,[Xe] 4f14 5d6 6s2
Iridium,77,Ir,192.2173,9,fcc,Transition Metal,0.63,1.9,2.2,8.967,22.56,2716.15,4701,25,Tennant,1804,0.131,[Xe] 4f14 5d7 6s2
Platinum,78,Pt,195.0849,10,fcc,Transition Metal,0.63,1.8,2.28,8.9587,21.46,2045.15,4098,32,Ulloa/Wood,1735,0.133,[Xe] 4f14 5d9 6s1
Gold,79,Au,196.9665694,11,fcc,Transition Metal,0.85,1.8,2.54,9.2255,19.282,1337.73,3129,21,Prehistoric,,0.129,[Xe] 4f14 5d10 6s1
Mercury,80,Hg,200.592,12,liq,Transition Metal,1,1.8,2,10.4375,13.5336,234.43,630,26,Prehistoric,,0.14,[Xe] 4f14 5d10 6s2
Thallium,81,Tl,204.38332,13,hex,Metal,1.5,2.1,2.04,6.1082,11.85,577.15,1746,28,Crookes,1861,0.129,[Xe] 4f14 5d10 6s2 6p1
Lead,82,Pb,207.21,14,fcc,Metal,1.2,1.8,2.33,7.4167,11.342,600.75,2022,29,Prehistoric,,0.129,[Xe] 4f14 5d10 6s2 6p2
Bismuth,83,Bi,208.980401,15,rho,Metal,1,1.6,2.02,7.2856,9.807,544.67,1837,19,Geoffroy the Younger,1753,0.122,[Xe] 4f14 5d10 6s2 6p3
Polonium,84,Po,210,16,cub,Metalloid,2.3,1.5,2,8.417,9.32,527.15,1235,34,Curie,1898,,[Xe] 4f14 5d10 6s2 6p4
Astatine,85,At,210,17,,Noble Gas,,1.4,2.2,9.3,7,575.15,610,21,Corson et al.,1940,,[Xe] 4f14 5d10 6s2 6p5
Radon,86,Rn,222,18,gas,Alkali Metal,,1.3,,10.7485,0.00973,202.15,211.3,20,Dorn,1900,0.094,[Xe] 4f14 5d10 6s2 6p6
Francium,87,Fr,223,1,bcc,Alkaline Earth Metal,1.8,,0.7,4.0727,1.87,300.15,950,21,Perey,1939,,[Rn] 7s1
Radium,88,Ra,226,2,bcc,Actinide,1.4,,0.9,5.2784,5.5,973.15,2010,15, Pierre and Marie Curie,1898,,[Rn] 7s2
Actinium,89,Ac,227,3,fcc,Actinide,1.1,,1.1,5.17,10.07,1323.15,3471,11,Debierne/Giesel,1899,0.12,[Rn] 6d1 7s2
Thorium,90,Th,232.038062,19,fcc,Actinide,0.97,,1.3,6.3067,11.72,2028.15,5061,12,Berzelius,1828,0.113,[Rn] 6d2 7s2
Protactinium,91,Pa,231.035882,20,orth,Actinide,0.78,,1.5,5.89,15.37,1873.15,4300,14,Hahn and Meitner,1917,,[Rn] 5f2 6d1 7s2
Uranium,92,U,238.028913,21,orth,Actinide,0.52,,1.38,6.1941,18.95,1405.15,4404,15,Peligot,1841,0.116,[Rn] 5f3 6d1 7s2
Neptunium,93,Np,237,22,orth,Actinide,0.75,,1.36,6.2657,20.45,913.15,4273,153,McMillan and Abelson,1940,,[Rn] 5f4 6d1 7s2
Plutonium,94,Pu,244,23,mno,Actinide,0.89,,1.28,6.0262,19.84,913.15,3501,163,Seaborg et al.,1940,,[Rn] 5f6 7s2
Americium,95,Am,243,24,hex,Actinide,0.98,,1.3,5.9738,13.69,1267.15,2880,133,Seaborg et al.,1944,,[Rn] 5f7 7s2
Curium,96,Cm,247,25,hex,Actinide,0.97,,1.3,5.9915,13.51,1340.15,3383,133,Seaborg et al.,1944,,
Berkelium,97,Bk,247,26,hex,Actinide,0.95,,1.3,6.1979,14.79,1259.15,983,83,Seaborg et al.,1949,,
Californium,98,Cf,251,27,hex,Actinide,0.93,,1.3,6.2817,15.1,1925.15,1173,123,Seaborg et al.,1950,,
Einsteinium,99,Es,252,28,hex,Actinide,,,1.3,6.42,13.5,1133.15,,123,Ghiorso et al.,1952,,
Fermium,100,Fm,257,29,,Actinide,,,1.3,6.5,,,,103,Ghiorso et al.,1953,,
Mendelevium,101,Md,258,30,,Actinide,,,1.3,6.58,,,,33,Ghiorso et al.,1955,,
Nobelium,102,No,259,31,,Actinide,,,1.3,6.65,,,,73,Ghiorso et al.,1958,,
Lawrencium,103,Lr,262,32,,Actinide,,,,,,,,203,Ghiorso et al.,1961,,
Rutherfordium,104,Rf,261,4,,Transactinide,,,,,18.1,,,,Ghiorso et al.,1969,,
Dubnium,105,Db,262,5,,Transactinide,,,,,39,,,,Ghiorso et al.,1970,,
Seaborgium,106,Sg,266,6,,Transactinide,,,,,35,,,,Ghiorso et al.,1974,,
Bohrium,107,Bh,264,7,,Transactinide,,,,,37,,,,Armbruster and Münzenberg,1981,,
Hassium,108,Hs,267,8,,Transactinide,,,,,41,,,,Armbruster and Münzenberg,1983,,
Meitnerium,109,Mt,268,9,,Transactinide,,,,,35,,,,"GSI, Darmstadt, West Germany",1982,,
Darmstadtium,110,Ds,271,10,,Transactinide,,,,,,,,,,,,
Roentgenium,111,Rg,272,11,,Transactinide,,,,,,,,,,,,
Copernicium,112,Cn,285,12,,Transactinide,,,,,,,,,,,,
Ununtrium,113,Uut,284,13,,,,,,,,,,,,,,
Ununquadium,114,Uuq,289,14,,Transactinide,,,,,,,,,,,,
Ununpentium,115,Uup,288,15,,,,,,,,,,,,,,
Ununhexium,116,Uuh,292,16,,Transactinide,,,,,,,,,,,,
Ununseptium,117,Uus,295,17,,,,,,,,,,,,,,
Ununoctium,118,Uuo,294,18,,Noble Gas,,,,,,,,,,,,
